,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,decade
2263,URN:NBN:no-nb_digibok_2010050603024,Til bords med Skagenmalerne,"Sewall , Lena / Christoffersen , Hans Peter / Woltmann , Marit",oai:nb.bibsys.no:999905081884702202,531645efe468ad7ef871bf8c5747683c,8276310486,,19990101,1999,Messel forl.,nob / swe,Malerkunst / Matlagning / malerkunst / skagen / norden / matlaging / danmark / dansk / kunst / kunsthistorie / kunstmalere / kulturhistorie / kokebøker,641.5,,Faglitteratur,digibok,1990
2264,URN:NBN:no-nb_digibok_2010030503042,Våren,"Weir , Joanne / Langballe , Kjersti",oai:nb.bibsys.no:999805809604702202,b7b75bc207f9eb77e1e7646d099c993c,8250425065,Oslo,19980101,1998,Grøndahl Dreyer,nob / eng,kokebøker / matlaging / årstider / vår,641.56,,Faglitteratur,digibok,1990
2265,URN:NBN:no-nb_digibok_2016021807529,Frankrike,"Leblanc , Beverly / Evans , Laurie / Sayer , Kim / Jones , Caroline / Hysing , Dorthea / Strømstad , Aase",oai:nb.bibsys.no:990807826984702202,5866c0211eaf8c131355a6b61f7f2a50,8278222703,,20060101,2006,Spektrum,nob / eng,kokebøker,641.5944,,Faglitteratur,digibok,2000
2266,URN:NBN:no-nb_digibok_2016070648058,Stiansens kulinariske koffert,"Stiansen , Bent / Stiansen , Annette / Nordrum , Kai / Molstad , Arild",oai:nb.bibsys.no:990223260654702202,c426e8b77cf34ae0e936d13e233458af,8252544878 / 8280710000,[Oslo],20020101,2002,Dinamo forl.,nob,kokebøker / matoppskrifter,641.5,,Faglitteratur,digibok,2000
2267,URN:NBN:no-nb_digibok_2008100200018,Sult,"Uffe / Nøsterud , Karin Beate / Ruud , Nina",oai:nb.bibsys.no:999917973104702202,6f8ab79d4ac9000d1f924cf783e33da2,8251617685,Oslo,19990101,1999,Schibsted,nob,kokebøker / matoppskrifter / drinker / desserter,641.5094821,,Faglitteratur,digibok,1990
2268,URN:NBN:no-nb_digibok_2008120104068,Guttas greatest,"Hjeltnes , Arne",oai:nb.bibsys.no:990120436214702202,a3a8232c69e704e6b67d3a186ae5d799,8248901351,Oslo,20010101,2001,Kagge,nno,Mat / matreiser / mat / reiseskildringer / nordmenn / 1990-tallet / 1900-tallet,641.5,,Faglitteratur,digibok,2000
2269,URN:NBN:no-nb_digibok_2009101904037,Mat och invandring i Norden,,oai:nb.bibsys.no:999515503064702202,cb751fab013dfd331c3a02a06bf79fa4,9291206717,Köpenhamn,19950101,1995,Nordiska ministerrådet,swe,innvandring / innvandrere / matkultur / matkulturer / matsosiologi / kokebøker / mat / ernæring / helse / kosthold / religion,,,Faglitteratur,digibok,1990
2270,URN:NBN:no-nb_digibok_2015121548080,Ganske enkelt thai mat : 50 oppskrifter med steg-for-steg fotografier,"Thomas , Heather / Røssbø , Sigrun Anny",oai:nb.bibsys.no:999712782024702202,535529037f300a86564ad1b9fccb1919,8290723539,Oslo,19970101,1997,Notabene,nob,thailandsk / mat / kokebøker,641.59593,,Faglitteratur,digibok,1990
2271,URN:NBN:no-nb_digibok_2007111504007,Fuldstændig norsk kogebog til brug såvel i større som mindre husholdninger,"Bang , Karen Dorothea / Notaker , Henry / Dege , Hroar",oai:nb.bibsys.no:999107559064702202,cc584880a118713f3f9bc14c61f45d18,8276270018,Arendal,19910101,1991,Kilden,dan,matlaging / kokebøker / norge / kulturhistorie / matkultur,641.5,,Faglitteratur,digibok,1990
2272,URN:NBN:no-nb_digibok_2021010407505,Kjartans tango,"Skjelde , Kjartan / Berg , Johannes Worsøe / Hovig , Ingrid Espelid",oai:nb.bibsys.no:991214174504702202,c9e722c3c66f2e3dc089b824f4eb2c2c,,Oslo,20120101,2012,Versal,nob,matoppskrifter / matlaging / kokebøker / rogaland / stavanger,641.59481 / 641.594834 / 641.5,,Faglitteratur,digibok,2010
2273,URN:NBN:no-nb_digibok_2007081001015,Maten er halve føda : en gastronomisk rundreise med smaksprøver,"Pollestad , Kjell Arild",oai:nb.bibsys.no:999111418554702202,e3f55d5741408a253746cdf72338bdeb,8202132851,Oslo,19910101,1991,Cappelen,nob,matlaging / matglede / gastronomi,641.01,,Faglitteratur,digibok,1990
2274,URN:NBN:no-nb_digibok_2018020248161,Barnas første kokebok : gøy på kjøkkenet!,"Karmel , Annabel / Tømt , Wenche / Hoff , Lene K. (Lene Katrine)",oai:nb.bibsys.no:990601768654702202,12a14d7f3be1e37c88879b08dc3a2014,8204116438,[Oslo],20060101,2006,Damm,nob / eng,Kokebøker / kokebøker,641.512,,Faglitteratur,digibok,2000
